date,title,sentiment,confidence
2026-03-14,Angel Studios Inc (ANGX) Q4 2025 Earnings Call Highlights: Record Revenue Growth Amidst Rising Costs,positive,0.9457418322563171
2026-03-13,Apple’s China App Store Fee Cut Tests Services Margins And Regulation,negative,0.9622597098350525
2026-03-13,Apple (AAPL) Dips More Than Broader Market: What You Should Know,neutral,0.48759445548057556
2026-03-13,How the Iran War Could Upend AI,neutral,0.9261583685874939
2026-03-13,Does Apple pay dividends? A history of rewarding shareholders,neutral,0.8021729588508606
2026-03-13,"Himax pops on report linking to Nvida AI optics, Apple smart-glasses",neutral,0.845241367816925
2026-03-13,Apple Cuts China App Store Fee to 25% After Regulator Discussions,neutral,0.5678787231445312
2026-03-13,Apple Stock In Focus -- Trims App Store Fees in China by 5%,positive,0.8982088565826416
2026-03-13,Apple cuts China App Store commission fees after government pressure,negative,0.8897947072982788
2026-03-13,1 Consumer Stock with Solid Fundamentals and 2 We Turn Down,neutral,0.4733855724334717
